Chr	First	Last	Sample	Sample group	Haplotype group	Total variants	Genotyped variants	Score Acutifolius	Score Vulgaris	Score self group
Chr01	46264213	46339911	GCDT_118	Vulgaris	U	50	44	-28	28	28
Chr01	46264213	46339911	GCDT_179	Vulgaris	U	50	50	0	0	0
Chr01	46264213	48364986	GCDT_268	Vulgaris	Acutifolius	450	449	437	-437	-437
Chr01	46342557	46669692	GCDT_161	Vulgaris	Acutifolius	50	41	41	-41	-41
Chr01	46669695	47001746	GCDT_179	Vulgaris	U	50	44	0	0	0
Chr01	47001858	47687004	GCDT_113	Vulgaris	Acutifolius	200	195	195	-195	-195
Chr01	47001858	51134643	GCDT_262	Vulgaris	Acutifolius	750	743	720	-720	-720
Chr01	47236351	50138501	GCDT_179	Vulgaris	U	600	559	-12	12	12
Chr01	47477896	47687004	GCDT_161	Vulgaris	Acutifolius	50	40	40	-40	-40
Chr01	47854746	48948700	GCDT_113	Vulgaris	Acutifolius	150	145	145	-145	-145
Chr01	48365096	48806089	GCDT_273	Vulgaris	U	50	44	-6	6	6
Chr01	48365096	48806089	GCDT_276	Vulgaris	U	50	50	-9	9	9
Chr01	48806140	48948700	GCDT_161	Vulgaris	Acutifolius	50	42	42	-42	-42
Chr01	48806140	49931135	GCDT_273	Vulgaris	Acutifolius	250	231	231	-231	-231
Chr01	48806140	51134643	GCDT_269	Vulgaris	Acutifolius	400	388	386	-386	-386
Chr01	48806140	51134643	GCDT_276	Vulgaris	Acutifolius	400	387	387	-387	-387
Chr01	49064690	49445665	GCDT_002	Vulgaris	U	50	45	9	-9	-9
Chr01	49064690	49445665	GCDT_166	Vulgaris	U	50	50	-22	22	22
Chr01	49064690	49445665	GCDT_167	Vulgaris	U	50	50	-22	22	22
Chr01	49064690	49445665	GCDT_168	Vulgaris	U	50	47	-19	19	19
Chr01	49064690	49445665	GCDT_169	Vulgaris	U	50	50	-22	22	22
Chr01	49064690	49445665	GCDT_174	Vulgaris	U	50	50	10	-10	-10
Chr01	49064690	49445665	GCDT_178	Vulgaris	U	50	49	9	-9	-9
Chr01	49064690	49678161	GCDT_172	Vulgaris	U	100	96	-20	20	20
Chr01	49064690	50138501	GCDT_113	Vulgaris	Acutifolius	200	186	186	-186	-186
Chr01	49064690	50540597	GCDT_175	Vulgaris	U	250	209	-27	27	27
Chr01	49445675	49678161	GCDT_154	Vulgaris	U	50	45	11	-11	-11
Chr01	49445675	49678161	GCDT_271	Vulgaris	U	50	47	1	-1	-1
Chr01	49445675	49931135	GCDT_161	Vulgaris	Acutifolius	100	80	80	-80	-80
Chr01	49445675	49931135	GCDT_168	Vulgaris	Acutifolius	100	90	90	-90	-90
Chr01	49445675	50540597	GCDT_167	Vulgaris	Acutifolius	200	193	192	-192	-192
Chr01	49445675	51134643	GCDT_002	Vulgaris	Acutifolius	250	229	229	-229	-229
Chr01	49445675	51134643	GCDT_166	Vulgaris	Acutifolius	250	245	243	-243	-243
Chr01	49445675	51134643	GCDT_169	Vulgaris	Acutifolius	250	234	234	-234	-234
Chr01	49445675	51134643	GCDT_174	Vulgaris	Acutifolius	250	250	250	-250	-250
Chr01	49445675	51134643	GCDT_178	Vulgaris	Acutifolius	250	248	248	-248	-248
Chr01	49679270	49931135	GCDT_162	Vulgaris	Acutifolius	50	40	40	-40	-40
Chr01	49679270	51134643	GCDT_154	Vulgaris	Acutifolius	200	174	174	-174	-174
Chr01	49679270	51134643	GCDT_271	Vulgaris	Acutifolius	200	191	191	-191	-191
Chr01	49948220	50138501	GCDT_172	Vulgaris	U	50	42	-5	5	5
Chr01	50147903	50540597	GCDT_205	Vulgaris	U	50	41	-9	9	9
Chr01	50147903	50540597	GCDT_208	Vulgaris	U	50	48	-2	2	2
Chr01	50147903	50540597	GCDT_209	Vulgaris	U	50	50	0	0	0
Chr01	50147903	51134643	GCDT_168	Vulgaris	Acutifolius	100	86	86	-86	-86
Chr01	50147903	51134643	GCDT_257	Vulgaris	Acutifolius	100	100	88	-88	-88
Chr01	50147903	51134643	GCDT_273	Vulgaris	Acutifolius	100	83	81	-81	-81
Chr01	50540599	51134643	GCDT_113	Vulgaris	Acutifolius	50	46	46	-46	-46
Chr01	50540599	51134643	GCDT_172	Vulgaris	U	50	49	-2	2	2
Chr01	50540599	51134643	GCDT_179	Vulgaris	U	50	47	-2	2	2
Chr01	50540599	51134643	GCDT_193	Vulgaris	Acutifolius	50	44	44	-44	-44
Chr01	50540599	51134643	GCDT_194	Vulgaris	U	50	50	22	-22	-22
Chr01	50540599	51134643	GCDT_198	Vulgaris	U	50	49	-11	11	11
Chr01	50540599	51134643	GCDT_205	Vulgaris	Acutifolius	50	48	48	-48	-48
Chr01	50540599	51134643	GCDT_208	Vulgaris	Acutifolius	50	44	44	-44	-44
Chr01	50540599	51134643	GCDT_209	Vulgaris	Acutifolius	50	49	49	-49	-49
Chr01	50540599	51134643	GCDT_222	Vulgaris	Acutifolius	50	48	34	-34	-34
Chr01	50540599	51134643	GCDT_233	Vulgaris	U	50	46	-28	28	28
Chr01	50540599	51134643	GCDT_245	Vulgaris	U	50	49	-11	11	11
Chr02	17625	27678627	GCDT_006	Vulgaris	U	50	50	-24	24	24
Chr02	17625	27678627	GCDT_016	Vulgaris	U	50	50	-22	22	22
Chr02	17625	27678627	GCDT_017	Vulgaris	U	50	50	-24	24	24
Chr02	17625	27678627	GCDT_023	Vulgaris	U	50	50	-26	26	26
Chr02	17625	27678627	GCDT_024	Vulgaris	U	50	49	-23	23	23
Chr02	17625	27678627	GCDT_025	Vulgaris	U	50	50	-18	18	18
Chr02	17625	27678627	GCDT_029	Vulgaris	U	50	50	-22	22	22
Chr02	17625	27678627	GCDT_034	Vulgaris	U	50	48	-22	22	22
Chr02	17625	27678627	GCDT_037	Vulgaris	U	50	50	-21	21	21
Chr02	17625	27678627	GCDT_057	Vulgaris	U	50	48	-22	22	22
Chr02	17625	27678627	GCDT_058	Vulgaris	U	50	49	-23	23	23
Chr02	17625	27678627	GCDT_060	Vulgaris	U	50	49	-21	21	21
Chr02	17625	27678627	GCDT_061	Vulgaris	U	50	50	-22	22	22
Chr02	17625	27678627	GCDT_074	Vulgaris	U	50	50	-26	26	26
Chr02	17625	27678627	GCDT_093	Vulgaris	U	50	48	-24	24	24
Chr02	17625	27678627	GCDT_095	Vulgaris	U	50	44	-18	18	18
Chr02	17625	27678627	GCDT_096	Vulgaris	U	50	50	-22	22	22
Chr02	17625	27678627	GCDT_119	Vulgaris	U	50	46	-18	18	18
Chr02	17625	27678627	GCDT_121	Vulgaris	U	50	43	-17	17	17
Chr02	17625	27678627	GCDT_124	Vulgaris	U	50	47	-10	10	10
Chr02	17625	27678627	GCDT_125	Vulgaris	U	50	42	-12	12	12
Chr02	17625	27678627	GCDT_127	Vulgaris	U	50	44	-8	8	8
Chr02	17625	27678627	GCDT_130	Vulgaris	U	50	49	-9	9	9
Chr02	17625	27678627	GCDT_145	Vulgaris	U	50	42	-26	26	26
Chr02	17625	27678627	GCDT_146	Vulgaris	U	50	45	-17	17	17
Chr02	17625	27678627	GCDT_153	Vulgaris	U	50	40	-24	24	24
Chr02	17625	27678627	GCDT_287	Vulgaris	U	50	48	-20	20	20
Chr02	17625	27678627	GCDT_297	Vulgaris	U	50	50	-22	22	22
Chr02	17625	27678627	GCDT_298	Vulgaris	U	50	46	-22	22	22
Chr02	17625	27678627	GCDT_301	Vulgaris	U	50	48	-20	20	20
Chr02	17625	44880961	GCDT_132	Vulgaris	U	100	99	17	-17	-17
Chr02	17625	44880961	GCDT_133	Vulgaris	U	100	82	-35	35	35
Chr02	17625	44880961	GCDT_142	Vulgaris	U	100	100	0	0	0
Chr02	17625	49560708	GCDT_114	Vulgaris	U	150	150	-4	4	4
Chr02	17625	49560708	GCDT_128	Vulgaris	U	150	140	15	-15	-15
Chr02	17625	49560708	GCDT_139	Vulgaris	U	150	149	17	-17	-17
Chr02	17625	49560708	GCDT_140	Vulgaris	U	150	149	13	-13	-13
Chr02	27678651	44880961	GCDT_102	Vulgaris	U	50	47	-7	7	7
Chr02	27678651	44880961	GCDT_103	Vulgaris	U	50	46	-12	12	12
Chr02	27678651	44880961	GCDT_242	Vulgaris	U	50	43	-7	7	7
Chr02	27678651	49560708	GCDT_118	Vulgaris	U	100	89	-11	11	11
Chr02	27678651	49560708	GCDT_290	Vulgaris	U	100	100	-20	20	20
Chr02	27678651	49560708	SMC_214	Vulgaris	U	100	91	-34	34	34
Chr02	44916256	49560708	GCDT_092	Vulgaris	U	50	50	-12	12	12
Chr02	44916256	49560708	GCDT_097	Vulgaris	U	50	48	-22	22	22
Chr02	44916256	49560708	GCDT_130	Vulgaris	U	50	50	0	0	0
Chr02	44916256	49560708	GCDT_134	Vulgaris	U	50	40	-4	4	4
Chr02	44916256	49560708	GCDT_135	Vulgaris	U	50	42	-11	11	11
Chr02	44916256	49560708	GCDT_138	Vulgaris	U	50	49	-7	7	7
Chr02	44916256	49560708	GCDT_146	Vulgaris	U	50	48	-4	4	4
Chr02	44916256	49560708	GCDT_147	Vulgaris	U	50	48	-21	21	21
Chr03	45775	1866589	GCDT_025	Vulgaris	U	50	49	-29	29	29
Chr03	45775	1866589	GCDT_029	Vulgaris	U	50	49	-29	29	29
Chr03	45775	1866589	GCDT_052	Vulgaris	U	50	49	-29	29	29
Chr03	45775	1866589	GCDT_118	Vulgaris	U	50	42	-26	26	26
Chr03	45775	1866589	GCDT_181	Vulgaris	U	50	49	-21	21	21
Chr03	45775	1866589	GCDT_182	Vulgaris	U	50	44	-16	16	16
Chr03	45775	1866589	GCDT_235	Vulgaris	Acutifolius	50	46	46	-46	-46
Chr03	45775	2989474	GCDT_065	Vulgaris	U	100	99	-5	5	5
Chr03	45775	2989474	GCDT_171	Vulgaris	Acutifolius	100	92	82	-82	-82
Chr03	45775	2989474	GCDT_237	Vulgaris	Acutifolius	100	91	81	-81	-81
Chr03	45775	3803585	GCDT_167	Vulgaris	U	150	131	-32	32	32
Chr03	45775	3803585	GCDT_219	Vulgaris	Acutifolius	150	139	117	-117	-117
Chr03	45775	5726979	GCDT_006	Vulgaris	U	250	246	-4	4	4
Chr03	45775	24590874	GCDT_220	Vulgaris	U	1050	1026	-268	268	268
Chr03	45775	46752163	GCDT_055	Vulgaris	Acutifolius	2300	2287	2267	-2267	-2267
Chr03	1866615	2989474	GCDT_181	Vulgaris	Acutifolius	50	44	34	-34	-34
Chr03	1866615	2989474	GCDT_182	Vulgaris	Acutifolius	50	40	32	-32	-32
Chr03	3010652	3803585	GCDT_065	Vulgaris	Acutifolius	50	50	43	-43	-43
Chr03	3010652	3803585	GCDT_181	Vulgaris	U	50	40	26	-26	-26
Chr03	3010652	31661714	GCDT_056	Vulgaris	U	1500	1442	-37	37	37
Chr03	3803589	8784030	GCDT_065	Vulgaris	U	350	338	10	-10	-10
Chr03	3803589	25703923	GCDT_060	Vulgaris	Acutifolius	950	927	909	-909	-909
Chr03	3803589	41698240	GCDT_058	Vulgaris	Acutifolius	2100	2078	2059	-2059	-2059
Chr03	3803589	41698240	GCDT_059	Vulgaris	Acutifolius	2100	2086	2070	-2070	-2070
Chr03	3803589	41698240	GCDT_062	Vulgaris	Acutifolius	2100	2078	2058	-2058	-2058
Chr03	3803589	46752163	GCDT_061	Vulgaris	Acutifolius	2150	2106	2065	-2065	-2065
Chr03	4936113	6507677	GCDT_182	Vulgaris	U	150	122	54	-54	-54
Chr03	4936113	7398158	GCDT_171	Vulgaris	U	200	175	73	-73	-73
Chr03	4936113	7398158	GCDT_181	Vulgaris	U	200	179	71	-71	-71
Chr03	4936113	7398158	GCDT_219	Vulgaris	U	200	183	75	-75	-75
Chr03	4936113	7398158	GCDT_237	Vulgaris	U	200	178	76	-76	-76
Chr03	4936113	31661714	GCDT_057	Vulgaris	Acutifolius	1400	1253	1247	-1247	-1247
Chr03	4936113	36783647	GCDT_167	Vulgaris	U	1750	1695	-236	236	236
Chr03	5727011	7398158	GCDT_183	Vulgaris	U	150	125	59	-59	-59
Chr03	6079706	7398158	GCDT_235	Vulgaris	U	100	84	38	-38	-38
Chr03	7403964	7908590	GCDT_171	Vulgaris	Acutifolius	50	47	31	-31	-31
Chr03	7403964	7908590	GCDT_181	Vulgaris	Acutifolius	50	47	31	-31	-31
Chr03	7403964	7908590	GCDT_182	Vulgaris	U	50	42	28	-28	-28
Chr03	7403964	7908590	GCDT_183	Vulgaris	Acutifolius	50	47	31	-31	-31
Chr03	7403964	7908590	GCDT_219	Vulgaris	Acutifolius	50	47	31	-31	-31
Chr03	7403964	7908590	GCDT_237	Vulgaris	Acutifolius	50	47	31	-31	-31
Chr03	7909372	10570283	GCDT_171	Vulgaris	U	150	130	54	-54	-54
Chr03	7909372	10570283	GCDT_219	Vulgaris	U	150	132	56	-56	-56
Chr03	7909372	10570283	GCDT_237	Vulgaris	U	150	134	54	-54	-54
Chr03	8784050	9376542	GCDT_182	Vulgaris	U	50	45	17	-17	-17
Chr03	8784050	9376542	GCDT_236	Vulgaris	U	50	40	20	-20	-20
Chr03	8784050	10570283	GCDT_181	Vulgaris	U	100	91	47	-47	-47
Chr03	8784050	10570283	GCDT_183	Vulgaris	U	100	84	44	-44	-44
Chr03	8784050	41698240	GCDT_065	Vulgaris	Acutifolius	1750	1729	1727	-1727	-1727
Chr03	9408164	10570283	GCDT_235	Vulgaris	U	50	40	28	-28	-28
Chr03	10570336	11945989	GCDT_235	Vulgaris	Acutifolius	100	94	62	-62	-62
Chr03	10570336	13408789	GCDT_182	Vulgaris	Acutifolius	200	176	137	-137	-137
Chr03	10570336	15466827	GCDT_183	Vulgaris	Acutifolius	300	269	213	-213	-213
Chr03	10570336	24590874	GCDT_171	Vulgaris	Acutifolius	450	420	330	-330	-330
Chr03	10570336	24590874	GCDT_181	Vulgaris	Acutifolius	450	434	338	-338	-338
Chr03	10570336	24590874	GCDT_219	Vulgaris	Acutifolius	450	434	332	-332	-332
Chr03	10570336	24590874	GCDT_237	Vulgaris	Acutifolius	450	430	334	-334	-334
Chr03	12459962	13408789	GCDT_235	Vulgaris	Acutifolius	50	43	39	-39	-39
Chr03	13408860	14107738	GCDT_182	Vulgaris	U	50	41	25	-25	-25
Chr03	13408860	14107738	GCDT_235	Vulgaris	U	50	40	26	-26	-26
Chr03	14150245	15466827	GCDT_235	Vulgaris	Acutifolius	50	47	37	-37	-37
Chr03	14150245	24590874	GCDT_182	Vulgaris	Acutifolius	200	179	139	-139	-139
Chr03	18827356	21885194	GCDT_183	Vulgaris	Acutifolius	50	50	40	-40	-40
Chr03	18827356	21885194	GCDT_235	Vulgaris	Acutifolius	50	45	35	-35	-35
Chr03	25703946	26189547	GCDT_237	Vulgaris	U	50	44	20	-20	-20
Chr03	26189553	27136521	GCDT_171	Vulgaris	Acutifolius	50	47	33	-33	-33
Chr03	26189553	27136521	GCDT_181	Vulgaris	Acutifolius	50	49	33	-33	-33
Chr03	26189553	27136521	GCDT_182	Vulgaris	Acutifolius	50	46	32	-32	-32
Chr03	26189553	27136521	GCDT_183	Vulgaris	Acutifolius	50	47	33	-33	-33
Chr03	26189553	27136521	GCDT_208	Vulgaris	Acutifolius	50	48	32	-32	-32
Chr03	26189553	27136521	GCDT_235	Vulgaris	Acutifolius	50	47	33	-33	-33
Chr03	26189553	27136521	GCDT_237	Vulgaris	Acutifolius	50	47	31	-31	-31
Chr03	26189553	46752163	GCDT_060	Vulgaris	Acutifolius	1150	1100	1078	-1078	-1078
Chr03	27142304	27475461	GCDT_171	Vulgaris	U	50	49	17	-17	-17
Chr03	27142304	27475461	GCDT_181	Vulgaris	U	50	48	16	-16	-16
Chr03	27142304	27475461	GCDT_182	Vulgaris	U	50	44	16	-16	-16
Chr03	27142304	27475461	GCDT_183	Vulgaris	U	50	43	11	-11	-11
Chr03	27142304	27475461	GCDT_208	Vulgaris	U	50	48	16	-16	-16
Chr03	27142304	27475461	GCDT_235	Vulgaris	U	50	44	18	-18	-18
Chr03	27142304	27475461	GCDT_237	Vulgaris	U	50	49	17	-17	-17
Chr03	28756377	30072199	GCDT_208	Vulgaris	U	100	87	29	-29	-29
Chr03	28756377	30450491	GCDT_183	Vulgaris	U	150	133	37	-37	-37
Chr03	28756377	30450491	GCDT_237	Vulgaris	U	150	134	46	-46	-46
Chr03	28756377	36783647	GCDT_171	Vulgaris	U	650	604	270	-270	-270
Chr03	28756377	46752163	GCDT_181	Vulgaris	U	1000	960	-301	301	301
Chr03	29447237	30450491	GCDT_182	Vulgaris	U	100	84	27	-27	-27
Chr03	29447237	30450491	GCDT_235	Vulgaris	U	100	82	32	-32	-32
Chr03	30835143	36783647	GCDT_182	Vulgaris	U	450	414	194	-194	-194
Chr03	30835143	36783647	GCDT_183	Vulgaris	U	450	409	189	-189	-189
Chr03	30835143	36783647	GCDT_208	Vulgaris	U	450	428	196	-196	-196
Chr03	30835143	36783647	GCDT_218	Vulgaris	U	450	438	156	-156	-156
Chr03	30835143	39816758	GCDT_237	Vulgaris	U	700	668	246	-246	-246
Chr03	31412330	34449810	GCDT_235	Vulgaris	U	300	260	118	-118	-118
Chr03	32538184	33078207	GCDT_057	Vulgaris	Acutifolius	50	45	41	-41	-41
Chr03	32538184	33479663	GCDT_287	Vulgaris	U	100	90	-42	42	42
Chr03	32538184	36783647	GCDT_288	Vulgaris	U	300	278	83	-83	-83
Chr03	32538184	36783647	GCDT_289	Vulgaris	U	300	265	74	-74	-74
Chr03	32538184	41698240	GCDT_056	Vulgaris	U	600	554	-18	18	18
Chr03	33479781	34449810	GCDT_057	Vulgaris	Acutifolius	100	87	86	-86	-86
Chr03	33479781	35860355	GCDT_168	Vulgaris	U	150	143	59	-59	-59
Chr03	33927262	36783647	GCDT_189	Vulgaris	U	150	145	17	-17	-17
Chr03	34449831	35860355	GCDT_287	Vulgaris	U	50	40	-16	16	16
Chr03	35860441	37112413	GCDT_057	Vulgaris	Acutifolius	100	87	87	-87	-87
Chr03	35860441	37479105	GCDT_166	Vulgaris	U	150	146	-53	53	53
Chr03	36783649	37112413	GCDT_287	Vulgaris	U	50	42	-27	27	27
Chr03	37112417	38435934	GCDT_168	Vulgaris	U	100	91	20	-20	-20
Chr03	37112417	39816758	GCDT_167	Vulgaris	U	200	191	29	-29	-29
Chr03	37112417	39816758	GCDT_171	Vulgaris	U	200	189	27	-27	-27
Chr03	37112417	39816758	GCDT_183	Vulgaris	U	200	178	16	-16	-16
Chr03	37112417	39816758	GCDT_189	Vulgaris	U	200	187	25	-25	-25
Chr03	37112417	39816758	GCDT_208	Vulgaris	U	200	186	28	-28	-28
Chr03	37112417	39816758	GCDT_218	Vulgaris	U	200	189	25	-25	-25
Chr03	37112417	39816758	GCDT_288	Vulgaris	U	200	178	15	-15	-15
Chr03	37112417	39816758	GCDT_289	Vulgaris	U	200	186	24	-24	-24
Chr03	37513441	38435934	GCDT_057	Vulgaris	Acutifolius	50	43	43	-43	-43
Chr03	37513441	38435934	GCDT_093	Vulgaris	U	50	50	20	-20	-20
Chr03	37513441	38435934	GCDT_235	Vulgaris	U	50	42	-6	6	6
Chr03	37513441	39061215	GCDT_182	Vulgaris	U	100	87	-9	9	9
Chr03	38473865	39061215	GCDT_287	Vulgaris	U	50	43	-27	27	27
Chr03	38473865	46752163	GCDT_166	Vulgaris	U	200	183	-71	71	71
Chr03	39165927	41698240	GCDT_057	Vulgaris	Acutifolius	100	92	92	-92	-92
Chr03	39816759	41698240	GCDT_093	Vulgaris	U	50	49	-21	21	21
Chr03	39816759	41698240	GCDT_167	Vulgaris	Acutifolius	50	48	46	-46	-46
Chr03	39816759	41698240	GCDT_171	Vulgaris	Acutifolius	50	46	44	-44	-44
Chr03	39816759	41698240	GCDT_183	Vulgaris	Acutifolius	50	40	38	-38	-38
Chr03	39816759	41698240	GCDT_189	Vulgaris	Acutifolius	50	48	46	-46	-46
Chr03	39816759	41698240	GCDT_208	Vulgaris	Acutifolius	50	43	41	-41	-41
Chr03	39816759	41698240	GCDT_218	Vulgaris	Acutifolius	50	50	48	-48	-48
Chr03	39816759	41698240	GCDT_288	Vulgaris	Acutifolius	50	44	42	-42	-42
Chr03	39816759	41698240	GCDT_289	Vulgaris	Acutifolius	50	43	39	-39	-39
Chr03	39816759	46752163	GCDT_022	Vulgaris	U	100	92	36	-36	-36
Chr03	39816759	46752163	GCDT_052	Vulgaris	U	100	96	-44	44	44
Chr03	39816759	46752163	GCDT_237	Vulgaris	Acutifolius	100	97	77	-77	-77
Chr03	41754914	46752163	GCDT_058	Vulgaris	U	50	45	25	-25	-25
Chr03	41754914	46752163	GCDT_059	Vulgaris	U	50	47	29	-29	-29
Chr03	41754914	46752163	GCDT_062	Vulgaris	U	50	46	27	-27	-27
Chr03	41754914	46752163	GCDT_065	Vulgaris	U	50	47	29	-29	-29
Chr03	41754914	46752163	GCDT_167	Vulgaris	U	50	46	28	-28	-28
Chr03	41754914	46752163	GCDT_171	Vulgaris	U	50	47	29	-29	-29
Chr03	41754914	46752163	GCDT_189	Vulgaris	U	50	44	26	-26	-26
Chr03	41754914	46752163	GCDT_190	Vulgaris	U	50	44	-16	16	16
Chr03	41754914	46752163	GCDT_208	Vulgaris	U	50	40	22	-22	-22
Chr03	41754914	46752163	GCDT_215	Vulgaris	U	50	46	23	-23	-23
Chr03	41754914	46752163	GCDT_218	Vulgaris	U	50	46	28	-28	-28
Chr03	41754914	46752163	GCDT_288	Vulgaris	U	50	41	18	-18	-18
Chr04	150332	5419714	GCDT_040	Vulgaris	U	50	42	-8	8	8
Chr04	150332	5419714	GCDT_058	Vulgaris	U	50	40	-12	12	12
Chr04	150332	5419714	GCDT_059	Vulgaris	U	50	43	-9	9	9
Chr04	150332	5419714	GCDT_060	Vulgaris	U	50	44	-8	8	8
Chr04	150332	5419714	GCDT_083	Vulgaris	U	50	41	-11	11	11
Chr04	150332	5419714	GCDT_105	Vulgaris	Acutifolius	50	42	42	-42	-42
Chr04	150332	5419714	GCDT_292	Vulgaris	U	50	49	-29	29	29
Chr04	150332	7911215	GCDT_181	Vulgaris	U	100	90	-22	22	22
Chr04	5494539	7911215	GCDT_100	Vulgaris	U	50	40	28	-28	-28
Chr04	5494539	7911215	GCDT_105	Vulgaris	U	50	49	29	-29	-29
Chr04	5494539	42947517	GCDT_151	Vulgaris	U	100	97	-31	31	31
Chr04	5494539	42947517	GCDT_293	Vulgaris	U	100	97	-31	31	31
Chr04	5494539	43637453	GCDT_166	Vulgaris	U	150	144	1	-1	-1
Chr04	5494539	43637453	GCDT_294	Vulgaris	U	150	127	-2	2	2
Chr04	7950610	42947517	GCDT_138	Vulgaris	U	50	50	-10	10	10
Chr04	7950610	42947517	GCDT_244	Vulgaris	U	50	50	-26	26	26
Chr04	7950610	43637453	GCDT_261	Vulgaris	U	100	86	-1	1	1
Chr04	42955719	43637453	GCDT_138	Vulgaris	Acutifolius	50	50	50	-50	-50
Chr04	42955719	43637453	GCDT_215	Vulgaris	U	50	50	4	-4	-4
Chr04	42955719	43637453	GCDT_216	Vulgaris	U	50	50	4	-4	-4
Chr04	42955719	43637453	GCDT_218	Vulgaris	U	50	50	4	-4	-4
Chr04	42955719	43637453	GCDT_221	Vulgaris	U	50	50	4	-4	-4
Chr04	42955719	43637453	GCDT_244	Vulgaris	Acutifolius	50	49	49	-49	-49
Chr05	33982	400007	GCDT_132	Vulgaris	U	50	43	-5	5	5
Chr05	33982	400007	GCDT_206	Vulgaris	Acutifolius	50	45	45	-45	-45
Chr05	33982	916776	GCDT_231	Vulgaris	Acutifolius	100	97	97	-97	-97
Chr05	33982	1727757	GCDT_101	Vulgaris	Acutifolius	150	150	144	-144	-144
Chr05	33982	1727757	GCDT_105	Vulgaris	Acutifolius	150	146	138	-138	-138
Chr05	33982	1727757	GCDT_214	Vulgaris	Acutifolius	150	147	143	-143	-143
Chr05	33982	1727757	GCDT_293	Vulgaris	Acutifolius	150	143	139	-139	-139
Chr05	33982	1727757	GCDT_294	Vulgaris	Acutifolius	150	139	131	-131	-131
Chr05	33982	10694933	GCDT_147	Vulgaris	U	400	372	-19	19	19
Chr05	33982	10694933	GCDT_176	Vulgaris	Acutifolius	400	393	375	-375	-375
Chr05	402208	916776	GCDT_130	Vulgaris	U	50	50	22	-22	-22
Chr05	402208	1727757	GCDT_240	Vulgaris	U	100	94	-9	9	9
Chr05	916800	1727757	GCDT_121	Vulgaris	U	50	40	-28	28	28
Chr05	916800	1727757	GCDT_130	Vulgaris	Acutifolius	50	48	48	-48	-48
Chr05	916800	1727757	GCDT_231	Vulgaris	U	50	46	-8	8	8
Chr05	916800	10694933	GCDT_213	Vulgaris	U	300	290	-22	22	22
Chr05	1727995	2410221	GCDT_130	Vulgaris	U	50	50	-2	2	2
Chr05	1727995	4715726	GCDT_206	Vulgaris	Acutifolius	200	183	183	-183	-183
Chr05	2551720	4143573	GCDT_175	Vulgaris	U	100	92	4	-4	-4
Chr05	2551720	10694933	GCDT_240	Vulgaris	U	200	183	-9	9	9
